method,duration,bias,cost,tau_p,tau_v
AKDEc,1,0.610518494,11.83913112,86164.091,3600
AKDEc,1,0.28435443,12.2774725,86164.091,3600
pHREML_wAKDEc,1,0.352620786,27.46361971,86164.091,3600
KDE,1,0.235684936,0.330720663,86164.091,3600
AKDEc,1,0.083142997,12.89333892,86164.091,3600
AKDE,1,0.608389057,14.34893513,86164.091,3600
pHREML_AKDEc,1,0.761910588,20.3732307,86164.091,3600
pHREML_AKDEc,1,0.34386723,19.86629105,86164.091,3600
pHREML_AKDEc,1,0.094143268,21.39877629,86164.091,3600
AKDEc,1,0.378407731,14.16814518,86164.091,3600
pHREML_wAKDEc,1,0.721159591,20.31418872,86164.091,3600
KDE,1,0.096560315,0.306864023,86164.091,3600
pHREML_wAKDEc,1,0.367393779,20.10795307,86164.091,3600
KDE,1,0.258151839,0.31697154,86164.091,3600
pHREML_wAKDEc,1,0.095976661,21.62891865,86164.091,3600
KDE,1,0.11271083,0.147750139,86164.091,3600
AKDE,1,0.58980299,13.51196504,86164.091,3600
pHREML_AKDEc,1,0.449301242,21.51027775,86164.091,3600
AKDE,1,0.687090263,14.83617663,86164.091,3600
AKDE,1,0.286999074,15.61390066,86164.091,3600
AKDEc,1,0.367584904,13.58557582,86164.091,3600
AKDEc,1,0.42128017,14.36527753,86164.091,3600
pHREML_wAKDEc,1,0.428176806,22.3179903,86164.091,3600
KDE,1,0.055848815,0.120725155,86164.091,3600
AKDEc,1,0.182150328,15.30120754,86164.091,3600
AKDE,1,0.095039637,13.21840358,86164.091,3600
pHREML_AKDEc,1,0.476815761,24.16691756,86164.091,3600
pHREML_AKDEc,1,0.504125961,25.18072987,86164.091,3600
AKDEc,1,0.063173538,14.28560638,86164.091,3600
pHREML_wAKDEc,1,0.498842378,23.98280835,86164.091,3600
KDE,1,0.052412767,0.307290554,86164.091,3600
pHREML_AKDEc,1,0.218764013,36.63242579,86164.091,3600
pHREML_wAKDEc,1,0.479780248,25.88248491,86164.091,3600
KDE,1,0.277986436,0.318758249,86164.091,3600
pHREML_AKDEc,1,0.069202902,21.03085208,86164.091,3600
AKDE,1,0.253162484,10.46311402,86164.091,3600
AKDEc,1,0.145653863,10.48652458,86164.091,3600
AKDE,1,0.897861389,19.49546194,86164.091,3600
pHREML_wAKDEc,1,0.067140635,21.97741532,86164.091,3600
KDE,1,0.148135917,0.123651743,86164.091,3600
pHREML_wAKDEc,1,0.221061015,32.87613034,86164.091,3600
KDE,1,0.078310482,0.140669584,86164.091,3600
pHREML_AKDEc,1,0.238207483,17.3762207,86164.091,3600
AKDEc,1,0.542590518,13.92865872,86164.091,3600
AKDE,1,0.375262354,13.61647081,86164.091,3600
AKDE,1,0.156379453,15.22828412,86164.091,3600
pHREML_wAKDEc,1,0.242117051,16.05895829,86164.091,3600
KDE,1,0.272464373,0.304424286,86164.091,3600
AKDEc,1,0.231893743,13.48910451,86164.091,3600
AKDEc,1,0.101573765,12.49164367,86164.091,3600
pHREML_AKDEc,1,0.679838081,20.9299283,86164.091,3600
AKDE,1,1.35657801,11.56104207,86164.091,3600
AKDEc,1,0.799446796,12.10097671,86164.091,3600
pHREML_AKDEc,1,0.279082703,20.42652202,86164.091,3600
pHREML_wAKDEc,1,0.631892065,21.97971463,86164.091,3600
KDE,1,0.195793839,0.125548363,86164.091,3600
pHREML_AKDEc,1,0.116172464,23.71082854,86164.091,3600
AKDE,1,0.474461032,12.92455268,86164.091,3600
pHREML_AKDEc,1,1.096543038,19.41505766,86164.091,3600
pHREML_wAKDEc,1,0.281725058,21.98974276,86164.091,3600
KDE,1,0.159740523,0.125102043,86164.091,3600
pHREML_wAKDEc,1,0.117909736,21.47352386,86164.091,3600
KDE,1,0.070743321,0.123284101,86164.091,3600
AKDEc,1,0.295182134,12.6660428,86164.091,3600
pHREML_wAKDEc,1,1.102053168,19.70303798,86164.091,3600
KDE,1,0.135491939,0.303195715,86164.091,3600
AKDE,1,0.402321841,17.95764494,86164.091,3600
AKDE,1,0.852636083,11.63389587,86164.091,3600
pHREML_AKDEc,1,0.356554393,21.23538017,86164.091,3600
AKDEc,1,0.248627207,17.6493156,86164.091,3600
AKDE,1,0.214496283,35.80885887,86164.091,3600
AKDEc,1,0.511411747,12.87344265,86164.091,3600
pHREML_wAKDEc,1,0.363822799,20.66678047,86164.091,3600
KDE,1,0.158145304,0.123419046,86164.091,3600
pHREML_AKDEc,1,0.651600852,19.56493974,86164.091,3600
pHREML_AKDEc,1,0.29965309,28.82730436,86164.091,3600
AKDEc,1,0.136287967,23.9978478,86164.091,3600
AKDE,1,0.36396001,23.90985465,86164.091,3600
pHREML_wAKDEc,1,0.62521238,19.61922622,86164.091,3600
KDE,1,0.227179797,0.111815214,86164.091,3600
AKDE,1,0.452675495,11.85975051,86164.091,3600
pHREML_AKDEc,1,0.172755332,28.30516076,86164.091,3600
pHREML_wAKDEc,1,0.307950974,29.10110211,86164.091,3600
KDE,1,0.066321983,0.139624596,86164.091,3600
AKDEc,1,0.228442987,24.0020113,86164.091,3600
AKDEc,1,0.282283678,11.31793356,86164.091,3600
AKDE,1,0.136156019,12.28822875,86164.091,3600
AKDEc,1,0.089463864,13.15932083,86164.091,3600
pHREML_AKDEc,1,0.32780396,19.27803636,86164.091,3600
pHREML_wAKDEc,1,0.174504965,29.99903464,86164.091,3600
KDE,1,0.092455368,0.110961437,86164.091,3600
pHREML_AKDEc,1,0.270651878,25.91379619,86164.091,3600
AKDE,1,0.218458706,15.46914101,86164.091,3600
pHREML_wAKDEc,1,0.313731589,19.46136284,86164.091,3600
KDE,1,0.111573141,0.302806139,86164.091,3600
pHREML_AKDEc,1,0.100504284,24.89958525,86164.091,3600
pHREML_wAKDEc,1,0.270833143,21.07847381,86164.091,3600
KDE,1,0.107379018,0.322206736,86164.091,3600
AKDE,1,0.456287412,11.89760399,86164.091,3600
